date,sales,region,product,customer_count
2024-01-01,15000,North,Product A,45
2024-01-02,18000,North,Product B,52
2024-01-03,22000,North,Product A,67
2024-01-04,19000,South,Product C,58
2024-01-05,21000,South,Product B,63
2024-01-06,25000,South,Product A,72
2024-01-07,17000,East,Product C,49
2024-01-08,23000,East,Product B,68
2024-01-09,26000,East,Product A,75
2024-01-10,20000,West,Product C,61
2024-01-11,24000,West,Product B,70
2024-01-12,28000,West,Product A,82
2024-01-13,16000,North,Product C,47
2024-01-14,19500,North,Product A,56
2024-01-15,22500,South,Product B,65
2024-01-16,18500,South,Product C,54
2024-01-17,21500,East,Product A,62
2024-01-18,24500,East,Product B,71
2024-01-19,27500,West,Product A,79
2024-01-20,20500,West,Product C,60